State,HouseholdIncome,IQ,Region,Population,EighthGradeMath,HighSchool,GSP,FiveVegetables,Smokers,PhysicalActivity,Obese,College,NonWhite,HeavyDrinkers,Pres08,TrumpVote16,TrumpVote20,BidenVote20
Alabama,38160,95.7,S,5.024279,262.21,82.4,33264,20.1,24.8,70.3,28.9,24.6,0.294,4.5,McCain,62.08,62.03,36.57
Alaska,57071,99,W,0.733391,278.96,90.2,59238,24.8,24.9,79.4,27.4,29.2,0.262,5.1,McCain,51.28,52.83,42.77
Arizona,46693,97.4,W,7.151502,274.31,84.4,36457,23.7,20.2,75.7,21.1,30.8,0.311,6.3,McCain,48.67,49.06,49.36
Arkansas,37458,97.5,S,3.011524,271.64,79.2,31215,21,23.5,73.4,28,26.7,0.178,3.2,McCain,60.57,62.4,34.78
California,54385,95.5,W,39.538223,268.56,81.3,44894,28.9,15.2,77.2,22.7,31.1,0.53,6.2,Obama,31.62,34.32,63.48
Colorado,53900,101.6,W,5.773714,280.82,88.3,46416,24.5,19.8,81.2,17.8,38,0.225,5.1,Obama,43.25,41.9,55.4
Connecticut,60551,103.1,NE,3.605944,281.07,88.8,55193,27.4,16.5,81.1,20.1,43.4,0.164,5.7,Obama,40.93,39.19,59.26
Delaware,52676,100.4,NE,0.989948,280.95,86.5,66961,21.3,20.6,78.1,23.5,37.7,0.221,5.4,Obama,41.72,39.77,58.74
Florida,45038,98.4,S,21.538187,274.05,85.9,37846,26.2,21.7,76.3,22.8,31,0.357,6.9,Obama,49.02,51.22,47.86
Georgia,48388,98,S,10.711908,272.19,85.2,40103,23.2,22.1,74.2,26.5,30.7,0.368,4,McCain,50.77,49.24,49.47
Hawaii,61005,95.6,W,1.455271,265.63,88,42361,24.5,17,NA,19.7,36,0.733,7.4,Obama,30.03,34.27,63.73
Idaho,45919,101.4,W,1.839106,280.97,87.9,33020,23.2,17.9,80.9,24.5,27.7,0.135,4.2,McCain,59.26,63.84,33.07
Illinois,49328,99.9,MW,12.812508,277.67,86.8,43878,24,19.9,75.1,25.1,33.4,0.32,5.7,Obama,38.76,40.55,57.54
Indiana,44618,101.7,MW,6.785528,281.71,87.2,38037,22,27.3,74.6,27.2,26.7,0.141,4.1,Obama,56.82,57.02,40.96
Iowa,48075,103.2,MW,3.190369,283.81,89.8,38280,19.5,20.4,78.6,25.4,28.4,0.068,5.6,Obama,51.15,53.09,44.89
Kansas,44478,102.8,MW,2.93788,284.03,89.6,38465,19.9,17.8,76.7,23.9,32.7,0.136,3.2,McCain,56.65,56.21,41.56
Kentucky,38694,99.4,MW,4.505836,273.98,81.8,33666,16.8,28.7,70.1,28.6,22.6,0.094,2.7,McCain,62.52,62.09,36.15
Louisiana,37472,95.3,S,4.657757,267.76,78.7,37183,20.2,22.6,70.2,30.8,25.5,0.369,4.8,McCain,58.09,58.46,39.85
Maine,45503,103.4,NE,1.362359,281.06,87.1,34030,28.7,20.8,78.4,22.7,30.9,0.048,5.5,Obama,44.87,44.02,53.09
Maryland,63082,99.7,NE,6.177224,277.93,87.4,43967,28.7,18.9,78.1,24.4,42.5,0.376,4.2,Obama,33.91,32.15,65.36
Massachusetts,56592,104.3,NE,7.029917,291.51,86.9,50935,28.6,18.1,80,20.7,43.2,0.172,6.3,Obama,32.81,32.14,65.6
Michigan,48043,100.5,MW,10.077331,277.35,87.9,37175,22.8,22,77.8,26.2,29.8,0.211,5.7,Obama,47.5,47.84,50.62
Minnesota,56102,103.7,MW,5.706494,290.07,92.3,45697,24.5,20,84.1,23.7,34.5,0.098,4.9,Obama,44.92,45.28,52.4
Mississippi,34343,94.2,S,2.961279,262.46,83,27829,16.5,23.6,68.6,30.9,22.4,0.377,3.7,McCain,57.94,57.6,41.06
Missouri,44487,101,MW,6.154913,276.45,87.9,37251,22.6,23.4,75.1,26.9,27.1,0.157,5,McCain,56.77,56.8,41.41
Montana,39821,103.4,W,1.084225,286.43,91.9,31940,24.7,19.2,81.1,21.3,31.2,0.09,6,McCain,56.17,56.92,40.55
Nebraska,48820,102.3,MW,1.961504,283.96,91.3,40185,20.2,21.3,78.4,26,29.5,0.124,4.5,McCain,58.75,58.22,39.17
Nevada,51036,96.5,W,3.104614,269.91,86.3,46108,22.5,23.1,75.7,21.2,27.2,0.374,7.4,Obama,45.5,47.67,50.06
New Hampshire,60441,104.2,NE,1.377529,285.25,90.8,42033,29.1,20.4,81.4,23.1,38.6,0.054,5.7,Obama,46.61,45.36,52.71
New Jersey,66752,102.8,NE,9.288994,283.9,87.6,49447,25.9,18,74.3,22.1,38.3,0.352,4,Obama,41,41.4,57.33
New Mexico,40126,95.7,W,2.117522,263.28,82.9,35714,21.5,21.5,78.8,21.7,30.1,0.489,4.1,Obama,40.04,43.5,54.29
New York,48472,100.7,NE,20.201249,279.72,85.4,49748,26,20.5,73.4,22.2,36.3,0.391,4.9,Obama,36.52,37.75,60.86
North Carolina,41616,100.2,S,10.439388,281.83,80.9,39921,22.5,22.6,75.2,25.9,28.7,0.295,2.9,Obama,49.83,49.93,48.59
North Dakota,42311,103.8,MW,0.779094,286.96,89.5,38319,21.8,20.1,78.6,25.4,31.1,0.07,5,McCain,62.96,65.11,31.76
Ohio,45776,101.8,MW,11.799448,283.25,88.1,38461,22.6,22.3,77,24.3,30.5,0.149,4.8,Obama,51.69,53.27,45.24
Oklahoma,38859,99.3,S,3.959353,271.36,85.2,34243,15.7,25.1,72.2,26.8,23.9,0.281,3.1,McCain,65.32,65.37,32.29
Oregon,46349,101.2,W,4.237256,282.24,87.4,39625,25.9,18.5,82.8,23.8,31,0.168,6.1,Obama,39.09,40.37,56.45
Pennsylvania,48148,101.5,NE,13.0027,280.71,86.5,39344,23.9,23.6,75.6,25.3,28.4,0.154,4.6,Obama,48.18,48.84,50.01
Rhode Island,52421,99.5,NE,1.097379,272.35,81.1,40687,26.8,19.8,75.7,21,34.5,0.165,5.4,Obama,38.9,38.61,59.39
South Carolina,40583,98.4,S,5.118425,281.23,83.6,32906,21.2,22.5,76.1,29.1,27.2,0.333,4.9,McCain,54.94,55.11,43.43
South Dakota,44996,102.8,MW,0.886667,287.3,87.5,39848,20.5,19.8,81,25.5,29.8,0.083,4.3,McCain,61.53,61.77,35.61
Tennessee,40696,97.7,S,6.91084,270.52,82.9,38440,26.5,26.7,70.3,27.4,25.6,0.203,3.4,McCain,60.72,60.66,37.45
Texas,43044,100,S,29.145505,281.1,78.3,43283,22.6,20,73.8,27,27.6,0.431,5.3,McCain,52.23,52.06,46.48
Utah,55619,101.1,W,3.271616,279.16,91,36758,22.1,11.5,83.1,21.2,31,0.121,2.9,McCain,45.54,58.13,37.65
Vermont,52174,103.8,NE,0.643077,287.36,90.8,37020,30.8,19.3,81.8,20.2,37,0.056,6.6,Obama,30.27,30.67,66.09
Virginia,55368,101.9,S,8.631393,284.37,88.4,46502,26.2,20.6,78,25.1,39.1,0.229,4.7,Obama,44.41,44,54.11
Washington,53515,101.9,W,7.705281,285.05,89.7,42512,25.2,17.6,82.7,23.3,35.1,0.181,5.1,Obama,36.83,38.77,57.97
West Virginia,38029,98.7,S,1.793716,269.1,80.9,29199,20,26.7,75.4,30.6,20.2,0.077,3.1,McCain,68.5,68.62,29.69
Wisconsin,48903,102.9,MW,5.893718,284.54,88.8,39074,22.2,20.7,81.5,24.4,29.8,0.091,7.5,Obama,47.22,48.82,49.45
Wyoming,46613,102.4,W,0.576851,282.1,91.9,53543,21.8,21.3,79.8,24.2,29.6,0.096,4.4,McCain,67.4,69.94,26.55
