Player Name,Team,Position,Games,Goals,Assists,Points,Plus Minus,Penalty Minutes,Shots on Goal,Game Winning Goals,Power Play Goals,Power Play Assists,Short Handed Goals,Short Handed Assists,Hits,Blocked Shots
Sam Gagner,WPG,C,81,13,18,31,-4,32,132,0,0,1,1,0,21,25
Alex Chiasson,ARI,RW,67,13,9,22,4,24,98,2,6,4,0,0,68,18
Adam Lowry,WPG,LW,79,13,8,21,1,59,115,0,0,2,3,2,231,43
William Karlsson,VGK,C,67,12,23,35,3,10,135,0,1,2,2,0,42,42
Dmitry Orlov,WAS,D,76,12,23,35,25,44,127,4,2,2,0,0,124,94
Calle Jarnkrok,TOR,C,66,12,18,30,-14,6,101,1,2,4,0,0,38,17
Mikael Backlund,CGY,C,82,12,27,39,16,30,214,1,0,7,0,0,62,27
Jonathan Toews,CHI,C,71,12,25,37,-14,39,125,2,4,3,1,0,25,22
Jason Spezza,FA,C,71,12,13,25,-3,26,97,1,3,7,0,0,31,24
Oskar Lindblom,SJ,LW,79,12,14,26,-11,22,127,1,0,1,0,0,83,48
Alex Tuch,BUF,RW,50,12,26,38,-3,14,139,0,2,6,1,0,32,49
Nick Ritchie,ARI,LW,57,12,11,23,-13,43,93,0,1,3,0,0,153,22
Warren Foegele,EDM,LW,82,12,14,26,-9,24,142,3,2,1,0,0,127,15
Anthony Beauvillier,NYI,LW,75,12,22,34,-10,12,154,1,5,6,0,0,39,20
Mathieu Joseph,OTT,RW,69,12,18,30,12,29,86,3,0,0,2,2,106,27
Josh Morrissey,WPG,D,79,12,25,37,-3,66,173,3,6,9,0,0,150,104
Brock McGinn,PIT,LW,64,12,10,22,0,14,99,2,0,0,0,0,94,50
Nathan Bastian,NJ,RW,72,12,6,18,-12,65,97,1,3,1,0,0,210,40
Jonathan Dahlen,FA,LW,61,12,10,22,-25,12,105,2,3,4,0,0,16,34
Jesperi Kotkaniemi,CAR,LW,66,12,17,29,3,37,81,3,0,4,0,0,74,15
Evan Bouchard,EDM,D,81,12,31,43,10,28,205,1,2,5,0,1,80,112
Jacob Peterson,DAL,LW,65,12,5,17,-1,12,85,5,0,1,0,0,22,23
Alexandre Texier,CLS,C,36,11,9,20,0,12,59,0,0,0,1,1,13,12
Eeli Tolvanen,NSH,LW,75,11,12,23,-7,16,151,1,1,5,0,0,176,45
Adam Boqvist,CLS,D,52,11,11,22,-11,12,64,1,3,3,0,0,26,47
Rudolfs Balcers,FLA,LW,61,11,12,23,-3,20,98,1,0,0,0,1,115,43
Adam Fox,NYR,D,78,11,63,74,18,26,158,2,0,33,1,1,30,128
Taylor Raddysh,CHI,RW,74,11,11,22,1,10,104,1,3,1,1,0,103,21
Gerald Mayhew,FLA,C,40,11,1,12,-6,18,53,0,1,0,0,0,58,26
David Kampf,TOR,RW,82,11,15,26,12,20,102,1,0,0,2,2,80,26
Philip Tomasino,NSH,C,76,11,21,32,2,10,111,3,3,6,0,0,49,28
Scott Laughton,PHI,C,67,11,19,30,-9,35,110,1,0,1,2,0,151,47
Mike Matheson,MON,D,74,11,20,31,12,33,140,5,0,2,0,0,97,81
Damon Severson,NJ,D,80,11,35,46,-14,57,158,0,5,11,0,1,91,92
Andreas Athanasiou,CHI,C,28,11,6,17,7,4,71,3,0,1,0,0,11,10
Alexander Wennberg,SEA,C,80,11,26,37,-26,28,95,2,2,4,0,1,47,44
Max Domi,CHI,C,72,11,28,39,10,55,104,1,0,4,0,0,24,9
Zach Werenski,CLS,D,68,11,37,48,-15,22,216,2,4,10,0,1,33,95
Denis Gurianov,DAL,RW,73,11,20,31,2,16,144,2,4,3,0,0,67,32
Christian Dvorak,MON,LW,56,11,22,33,-19,24,87,1,1,4,0,0,32,52
Michael Amadio,VGK,C,56,11,7,18,1,15,64,2,0,0,0,0,42,16
Kasperi Kapanen,PIT,RW,79,11,21,32,2,16,129,2,0,5,0,0,110,19
Nicolas Aube-Kubel,TOR,C,74,11,12,23,11,47,87,2,0,0,0,0,140,18
Brandon Montour,FLA,D,81,11,26,37,15,48,153,1,1,7,0,0,64,65
Brian Boyle,FA,C,66,11,10,21,6,27,87,1,0,0,1,0,95,39
T.J. Oshie,WAS,RW,44,11,14,25,-12,18,77,1,4,6,0,1,86,30
Patrick Maroon,TB,LW,81,11,16,27,20,134,102,0,3,3,0,0,160,11
Patric Hornqvist,FLA,RW,65,11,17,28,-5,19,165,0,3,4,0,0,112,23
Mikael Granlund,NSH,C,80,11,53,64,-9,33,117,3,3,25,0,0,92,45
Sam Carrick,ANH,C,64,11,8,19,-12,85,80,0,0,0,0,0,122,21
Ryan Nugent-Hopkins,EDM,LW,63,11,39,50,3,16,154,1,1,22,3,2,42,34
Jacob Trouba,NYR,D,81,11,28,39,25,88,204,1,1,3,0,2,207,177
Zemgus Girgensons,BUF,C,56,10,8,18,-7,27,92,1,3,1,0,0,81,25
Morgan Rielly,TOR,D,82,10,58,68,16,40,221,3,2,21,0,3,92,87
Colin Blackwell,CHI,C,58,10,10,20,0,14,77,1,0,0,2,0,91,24
Jared Spurgeon,MIN,D,65,10,30,40,32,10,116,2,0,14,0,0,44,83
Austin Watson,OTT,LW,67,10,6,16,-3,91,88,1,0,0,1,0,213,63
Kevin Hayes,PHI,C,48,10,21,31,-20,26,126,1,2,2,0,1,36,12
Milan Lucic,CGY,LW,82,10,11,21,-9,84,95,0,2,1,0,0,209,22
Erik Karlsson,SJ,D,50,10,25,35,-14,14,117,2,0,10,0,0,18,45
Casey Cizikas,NYI,C,74,10,6,16,-3,48,91,3,0,0,1,0,138,43
Brent Burns,CAR,D,82,10,44,54,-15,42,203,0,4,14,0,1,55,150
Kris Letang,PIT,D,78,10,58,68,20,49,214,3,2,20,0,0,171,122
Tony DeAngelo,PHI,D,64,10,41,51,30,56,151,2,2,18,0,0,41,59
Gustav Forsling,FLA,D,71,10,27,37,41,18,145,1,0,0,0,0,45,86
Derek Ryan,EDM,C,75,10,12,22,-4,8,72,2,0,0,0,1,38,38
Noah Hanifin,CGY,D,81,10,38,48,27,19,189,1,1,12,0,1,63,84
Jordan Greenway,MIN,LW,62,10,17,27,26,69,110,3,1,1,0,0,155,31
Nic Dowd,WAS,C,64,10,14,24,10,44,90,0,0,1,1,0,139,53
Carson Soucy,SEA,D,64,10,11,21,7,47,97,1,0,2,1,1,118,73
Connor Brown,WAS,RW,64,10,29,39,-15,10,121,0,0,9,1,3,14,37
Nils Hoglander,VAN,LW,60,10,8,18,-6,24,132,0,1,2,0,0,41,16
Blake Lizotte,LA,LW,70,10,14,24,15,28,91,2,0,0,1,2,74,12
Justin Danforth,CLS,RW,45,10,4,14,-5,10,72,1,0,1,0,0,85,22
Alexander Barabanov,SJ,RW,70,10,29,39,-5,14,103,1,2,6,0,0,53,39
Charlie McAvoy,BOS,D,78,10,46,56,31,66,166,5,4,17,1,0,155,130
Barrett Hayton,ARI,C,60,10,14,24,-8,20,82,1,2,3,0,0,84,33
Filip Zadina,DET,RW,74,10,14,24,-24,10,154,1,4,4,0,0,57,34
Eric Robinson,CLS,LW,67,10,17,27,-1,18,104,1,0,0,2,0,95,20
Jesper Boqvist,NJ,C,56,10,13,23,-9,10,74,1,0,1,0,0,31,16
Owen Tippett,PHI,RW,63,10,11,21,-2,12,126,1,1,2,0,0,98,16
Ryan Poehling,PIT,C,57,9,8,17,-21,6,91,1,2,0,0,0,40,28
Eetu Luostarinen,FLA,LW,78,9,17,26,1,12,84,4,0,1,2,1,103,46
Ryan McLeod,EDM,C,71,9,12,21,-2,12,82,1,2,3,0,0,28,25
Brett Howden,VGK,C,47,9,11,20,9,12,39,2,0,0,0,2,62,36
Ryan Lomberg,FLA,LW,55,9,9,18,4,92,91,1,0,0,0,1,117,7
Brandon Tanev,SEA,LW,30,9,6,15,4,13,51,3,2,0,1,0,98,22
Carl Grundstrom,LA,LW,54,9,6,15,4,26,83,1,0,0,0,0,134,19
Kirby Dach,MON,C,70,9,17,26,-18,43,116,0,2,4,0,1,49,44
Nico Sturm,SJ,C,74,9,11,20,-7,14,101,0,1,0,1,0,99,29
Connor McMichael,WAS,C,68,9,9,18,-3,10,105,0,0,0,0,0,46,22
Teddy Blueger,PIT,C,65,9,19,28,12,10,93,0,0,0,1,1,87,32
Brady Skjei,CAR,D,82,9,30,39,22,48,184,0,0,0,0,0,95,73
Mattias Janmark,EDM,C,67,9,16,25,3,21,89,1,0,0,2,1,19,28
Anthony Mantha,WAS,RW,37,9,14,23,4,14,82,0,0,2,0,0,46,18
Darnell Nurse,EDM,D,71,9,26,35,18,54,203,0,0,6,2,1,196,132
William Carrier,VGK,LW,63,9,11,20,7,34,120,0,0,0,0,0,159,24
Zach Sanford,NSH,LW,80,9,12,21,-15,50,104,0,1,2,0,0,169,67
Oliver Kylington,CGY,D,73,9,22,31,34,14,138,2,1,2,0,0,40,79
Ivan Provorov,PHI,D,79,9,22,31,-20,34,170,1,1,6,0,2,74,172
Pierre-Edouard Bellemare,TB,C,80,9,11,20,24,19,72,1,0,0,1,0,88,44
Dustin Brown,FA,RW,64,9,19,28,-3,20,146,0,1,2,0,0,88,20
Ben Chiarot,DET,D,74,9,17,26,-14,48,143,1,2,1,0,1,157,130
Marcus Johansson,WAS,LW,69,9,20,29,-26,4,111,2,3,7,0,0,31,26
Derek Stepan,CAR,C,58,9,10,19,0,14,96,0,0,0,0,0,29,25
Cam Fowler,ANH,D,76,9,33,42,-9,14,124,1,6,12,0,0,37,116
Dougie Hamilton,NJ,D,62,9,21,30,-19,34,197,1,2,6,0,0,87,92
Mark Stone,VGK,RW,37,9,21,30,7,8,71,2,3,3,0,1,19,24
Torey Krug,STL,D,64,9,34,43,23,48,119,1,3,16,1,0,53,70
Luke Glendening,DAL,C,82,9,7,16,-17,15,116,1,0,0,0,2,179,59
Nick Cousins,FLA,C,68,9,13,22,-8,31,103,1,3,1,0,0,66,28
Victor Rask,FA,C,47,9,12,21,4,2,58,1,0,1,0,0,15,5
Adam Larsson,SEA,D,82,8,17,25,-23,55,119,3,0,1,0,0,183,140
Nicolas Deslauriers,PHI,LW,81,8,5,13,-11,113,90,1,0,0,1,0,263,49
Jaden Schwartz,SEA,LW,37,8,15,23,-13,14,101,0,1,3,0,0,42,13
Jason Zucker,PIT,LW,41,8,9,17,-2,15,102,0,2,0,0,0,66,20
Tyler Ennis,FA,LW,57,8,16,24,-6,16,89,1,1,3,0,0,70,24
Mark Giordano,TOR,D,75,8,27,35,-9,57,151,1,0,12,2,0,75,139
Erik Johnson,COL,D,77,8,17,25,22,24,139,1,0,1,1,1,165,136
Anton Stralman,BOS,D,74,8,15,23,-16,12,95,1,0,0,0,0,99,100
Phil Kessel,VGK,RW,82,8,44,52,-24,40,175,0,2,12,0,0,6,21
Derick Brassard,OTT,C,46,8,11,19,4,16,62,1,1,1,0,0,82,6
Kevin Shattenkirk,ANH,D,82,8,27,35,-9,36,163,1,1,13,0,0,73,135
Brendan Lemieux,LA,LW,50,8,5,13,1,97,65,2,0,0,0,0,122,17
Curtis Lazar,VAN,C,70,8,8,16,-2,16,95,0,0,0,0,1,186,51
Sean Monahan,MON,C,65,8,15,23,-15,24,111,2,5,8,0,0,59,24
MacKenzie Weegar,CGY,D,80,8,36,44,40,81,203,2,1,2,1,1,179,156
Nathan Walker,STL,C,30,8,4,12,1,2,38,2,0,0,0,0,58,22
Jimmy Vesey,NYR,LW,68,8,7,15,-24,12,110,2,0,0,2,0,85,29
Oskar Sundqvist,DET,C,59,8,15,23,5,29,70,1,0,0,0,0,70,29
Logan O'Connor,COL,C,81,8,16,24,10,38,127,1,0,0,1,3,100,59
Noah Gregor,SJ,C,63,8,15,23,-21,25,156,1,0,3,0,0,118,49
Mason Appleton,WPG,C,68,8,13,21,-1,30,98,3,0,0,0,0,64,20
Steven Lorentz,SJ,C,67,8,5,13,0,8,80,1,0,0,0,0,67,13
Trent Frederic,BOS,C,60,8,10,18,10,57,100,1,0,0,0,0,119,22
Rasmus Asplund,BUF,C,80,8,19,27,-5,10,130,1,2,2,1,0,30,14
Tyson Jost,MIN,C,80,8,12,20,2,34,97,2,0,0,0,1,55,37
Joe Veleno,DET,C,66,8,7,15,-14,22,73,0,0,0,0,0,123,25
Martin Fehervary,WAS,D,79,8,9,17,15,26,96,2,0,0,1,1,251,117
Quinn Hughes,VAN,D,76,8,60,68,10,28,150,1,0,31,0,2,19,56
Zach Whitecloud,VGK,D,59,8,11,19,21,20,94,1,0,0,1,0,98,115
Filip Chytil,NYR,C,67,8,14,22,-1,14,135,1,0,1,0,0,24,27
Morgan Geekie,SEA,C,73,7,15,22,-16,18,97,0,0,4,0,0,55,23
Scott Reedy,SJ,C,35,7,2,9,-8,10,33,2,3,0,0,0,14,26
Parker Kelly,OTT,C,41,7,5,12,-4,60,48,0,0,0,0,0,131,30
K'Andre Miller,NYR,D,82,7,13,20,23,24,102,2,1,0,0,0,151,95
Jake Bean,CLS,D,67,7,18,25,-5,26,90,2,0,4,0,1,41,71
Jakob Chychrun,ARI,D,47,7,14,21,-20,47,141,2,1,0,0,0,51,66
Mikhail Sergachev,TB,D,78,7,31,38,6,59,149,1,1,6,0,1,139,123
Maxim Mamin,FA,LW,40,7,7,14,8,13,49,0,0,0,0,0,59,17
Kaapo Kakko,NYR,RW,43,7,11,18,9,10,62,2,1,1,0,0,8,15
Moritz Seider,DET,D,82,7,43,50,-9,34,187,4,2,19,0,2,151,161
Peyton Krebs,BUF,C,57,7,15,22,-26,22,56,2,0,10,0,0,25,8
Yegor Chinakhov,CLS,RW,62,7,7,14,-27,16,98,1,1,0,0,0,50,16
Colton Sissons,NSH,RW,79,7,21,28,2,30,87,0,1,3,0,0,188,44
Dominic Toninato,WPG,LW,77,7,7,14,1,22,44,1,0,1,1,3,92,32
Michael Raffl,FA,LW,76,7,9,16,-19,16,94,2,0,0,1,2,141,34
Tyler Motte,OTT,C,58,7,8,15,2,22,101,1,0,0,1,0,117,58
Michael McCarron,NSH,C,51,7,7,14,10,70,51,2,0,1,1,0,116,31
Brett Pesce,CAR,D,70,7,21,28,5,39,148,3,1,2,0,0,39,99
Juho Lammikko,FA,RW,75,7,8,15,-6,14,67,2,0,0,0,0,93,46
Travis Sanheim,PHI,D,80,7,24,31,9,34,123,1,0,0,0,0,64,142
Thomas Chabot,OTT,D,59,7,31,38,-3,26,173,1,1,12,0,0,73,93
Evgeny Svechnikov,SJ,LW,72,7,12,19,-4,38,78,1,0,0,0,0,104,22
Keegan Kolesar,VGK,RW,77,7,17,24,-6,68,94,0,1,0,1,0,246,46
Jansen Harkins,WPG,C,77,7,6,13,-8,15,67,0,0,0,0,0,51,18
Vince Dunn,SEA,D,73,7,28,35,-21,63,121,0,2,9,0,0,76,82
Darren Helm,COL,C,68,7,8,15,-5,14,93,1,0,0,1,1,114,27
Andrew Ladd,ARI,LW,51,7,5,12,-20,47,57,0,3,1,0,0,68,33
Ryan Suter,DAL,D,82,7,25,32,1,40,118,0,4,9,0,0,46,88
Drew Doughty,LA,D,39,7,24,31,4,30,99,1,4,9,0,0,60,53
Dmitry Kulikov,ANH,D,80,7,17,24,23,39,74,2,0,0,0,0,100,103
Johan Larsson,FA,C,43,7,14,21,-4,32,44,1,2,1,0,0,70,25
Nick Bjugstad,ARI,C,57,7,6,13,-2,20,81,0,1,0,0,0,99,14
Brendan Gallagher,MON,RW,56,7,17,24,-7,69,142,0,5,2,0,0,54,29
Tyson Barrie,EDM,D,73,7,34,41,3,18,149,0,3,18,0,1,27,73
Matt Dumba,MIN,D,57,7,20,27,9,47,116,1,1,4,0,0,114,84
Josh Manson,COL,D,67,6,10,16,-11,65,92,0,0,0,0,0,179,70
Matt Nieto,SJ,LW,70,6,11,17,-20,19,82,0,0,0,0,0,96,47
Mattias Ekholm,NSH,D,76,6,25,31,14,44,145,1,0,4,0,1,79,96
Joel Armia,MON,RW,60,6,8,14,-15,14,103,0,1,2,1,0,104,27
Sean Couturier,PHI,C,29,6,11,17,-6,14,79,2,2,3,0,1,22,18
Erik Gudbranson,CLS,D,78,6,11,17,15,68,129,0,0,0,0,0,145,92
John Klingberg,ANH,D,74,6,41,47,-28,34,139,2,1,19,0,0,57,77
Zack Kassian,ARI,RW,58,6,13,19,2,63,58,1,2,0,0,0,154,6
Chris Tanev,CGY,D,82,6,22,28,35,22,88,3,0,0,0,0,52,158
Justin Braun,PHI,D,69,6,12,18,2,36,73,0,0,0,0,0,87,121
Jeff Petry,PIT,D,68,6,21,27,-11,36,124,1,0,3,0,1,140,117
Cal Clutterbuck,NYI,RW,59,6,9,15,-6,10,74,1,0,0,1,0,229,23
Trevor Lewis,CGY,C,80,6,10,16,-1,12,108,1,0,1,1,0,176,40
Nicklas Backstrom,WAS,C,47,6,25,31,-8,12,68,1,1,13,0,0,16,16
Jakub Voracek,CLS,LW,79,6,56,62,-13,44,147,2,2,23,0,0,27,28
Brandon Carlo,BOS,D,79,6,9,15,2,31,125,0,0,1,1,0,143,104
Adam Erne,DET,RW,79,6,13,19,-22,34,108,1,0,0,0,0,161,43
Ryan Graves,NJ,D,75,6,22,28,-9,24,111,0,0,0,0,0,90,135
Jonathan Drouin,MON,C,34,6,14,20,-9,23,62,0,0,4,0,0,27,11
Colton Parayko,STL,D,80,6,29,35,16,18,135,2,0,1,0,0,72,169
Chris Tierney,FLA,C,70,6,12,18,-12,14,72,2,3,2,0,0,42,30
Jordan Martinook,CAR,LW,59,6,9,15,1,22,77,2,0,0,0,0,83,11
Alex Galchenyuk,FA,RW,60,6,15,21,-11,32,89,0,0,1,0,0,67,24
Philipp Kurashev,CHI,LW,67,6,15,21,-16,12,86,1,2,3,0,0,31,30
Artem Zub,OTT,D,81,6,16,22,1,60,92,0,0,0,0,0,155,124
Dryden Hunt,NYR,LW,76,6,11,17,-10,52,94,2,0,0,0,0,153,17
Kevin Rooney,CGY,C,61,6,6,12,-1,18,71,1,0,0,0,0,84,47
Michael McLeod,NJ,C,77,6,14,20,-13,52,78,0,0,0,0,1,145,34
Sam Steel,MIN,C,68,6,14,20,-17,16,66,1,0,3,0,0,37,27
Janne Kuokkanen,FA,LW,57,6,11,17,-10,10,64,1,1,0,1,0,33,22
Kieffer Bellows,NYI,LW,45,6,13,19,-1,19,79,2,0,4,0,0,103,14
Brandon Duhaime,MIN,LW,80,6,11,17,-2,122,91,1,0,0,0,0,201,18
Emil Bemstrom,CLS,C,41,6,5,11,-1,4,62,1,0,0,0,0,36,6
Max Comtois,ANH,LW,52,6,10,16,-17,46,72,0,0,2,0,0,111,17
Casey Mittelstadt,BUF,C,40,6,13,19,-14,4,79,1,1,6,0,0,19,12
Miro Heiskanen,DAL,D,70,5,31,36,3,24,156,1,3,8,0,0,52,92
Gabriel Vilardi,LA,C,25,5,2,7,-5,8,41,1,2,0,0,0,6,9
Timothy Liljegren,TOR,D,61,5,18,23,15,14,79,0,1,1,0,0,87,60
Morgan Frost,PHI,C,55,5,11,16,-11,14,85,0,1,1,0,0,44,29
Mackenzie Entwistle,CHI,RW,55,5,7,12,-16,23,34,0,0,0,1,0,129,22
Adam Ruzicka,CGY,C,28,5,5,10,8,8,33,0,0,0,0,0,24,8
Noah Cates,PHI,LW,16,5,4,9,4,4,23,1,1,0,0,0,21,6
Ty Smith,PIT,D,66,5,15,20,-26,22,77,0,0,4,0,0,45,73
Rasmus Kupari,LA,C,57,5,8,13,-5,18,51,1,1,2,1,0,68,17
Rasmus Sandin,TOR,D,51,5,11,16,9,4,46,3,0,3,0,0,88,39
Jasper Weatherby,SJ,C,50,5,6,11,-14,18,45,0,1,1,0,0,52,24
Filip Hronek,DET,D,78,5,33,38,-29,36,133,0,2,5,0,0,70,81
Samuel Girard,COL,D,67,5,23,28,-4,20,79,1,0,7,0,0,65,90
Vinni Lettieri,BOS,C,31,5,5,10,-8,6,50,0,2,3,0,0,40,17
Matthew Highmore,STL,C,46,5,7,12,1,14,61,0,1,0,0,0,41,38
Zach Aston-Reese,TOR,C,69,5,10,15,9,28,78,0,0,0,0,0,231,42
Michael Pezzetta,MON,C,51,5,6,11,-7,81,49,0,0,0,0,0,156,8
Vladislav Gavrikov,CLS,D,80,5,28,33,-3,68,108,1,0,0,0,1,124,138
Adam Gaudette,TOR,C,58,5,9,14,-9,17,94,1,2,0,0,0,72,10
Bowen Byram,COL,D,30,5,12,17,7,12,49,2,1,0,0,0,53,26
Quinton Byfield,LA,C,40,5,5,10,-7,20,39,1,0,1,0,0,20,11
Brendan Gaunce,CLS,C,30,5,2,7,2,12,44,0,0,0,0,0,42,9
Devin Shore,EDM,C,49,5,6,11,-4,10,36,0,0,0,1,0,67,21
Seth Jones,CHI,D,78,5,46,51,-37,28,194,0,0,19,0,1,99,155
Nick Jensen,WAS,D,76,5,16,21,32,21,88,1,0,0,0,0,135,92
Brett Kulak,EDM,D,74,5,16,21,-4,45,92,0,0,0,0,1,103,63
Jason Dickinson,VAN,C,62,5,6,11,-1,19,66,0,0,0,0,0,101,43
Ryan Pulock,NYI,D,56,5,16,21,0,2,122,0,2,4,0,1,86,130
Christian Fischer,ARI,RW,53,5,5,10,-15,14,76,0,1,0,0,0,91,22
Caleb Jones,CHI,D,51,5,10,15,-3,18,57,1,0,1,0,0,77,58
