Player Name,Team,Position,Games,Goals,Assists,Points,Plus Minus,Penalty Minutes,Shots on Goal,Game Winning Goals,Power Play Goals,Power Play Assists,Short Handed Goals,Short Handed Assists,Hits,Blocked Shots
Ethan Bear,CAR,D,58,5,9,14,1,20,97,2,0,1,0,0,55,41
Sam Lafferty,CHI,RW,56,5,8,13,-16,33,80,1,0,0,0,0,137,26
Anders Bjork,BUF,LW,58,5,3,8,-14,10,51,0,0,0,0,0,11,16
Ryan Reaves,NYR,RW,69,5,8,13,-13,43,44,0,0,0,0,0,279,16
Joe Thornton,FA,C,34,5,5,10,-10,10,26,1,3,0,0,0,20,10
Luke Schenn,VAN,D,66,5,12,17,15,61,78,1,0,0,1,0,273,96
Wayne Simmonds,TOR,RW,72,5,11,16,-7,96,79,2,0,1,0,0,148,11
Nick Holden,OTT,D,76,5,14,19,0,12,75,1,0,0,0,0,115,112
P.K. Subban,FA,D,77,5,17,22,-8,82,114,1,0,0,0,1,69,90
Oliver Ekman-Larsson,VAN,D,79,5,24,29,5,52,168,1,3,7,0,0,105,79
Jonas Brodin,MIN,D,73,5,25,30,9,18,126,1,1,6,0,1,42,126
Jakob Silfverberg,ANH,RW,53,5,16,21,-3,30,120,0,1,4,0,0,16,40
Ryan Dzingel,CAR,C,32,5,3,8,-5,35,32,1,0,0,0,0,20,9
Cody Ceci,EDM,D,78,5,23,28,8,14,102,0,0,0,0,3,117,121
Radek Faksa,DAL,C,77,5,14,19,-20,52,89,1,1,0,1,1,129,68
Hampus Lindholm,BOS,D,71,5,22,27,10,46,142,1,1,4,0,1,70,92
Chris Wideman,MON,D,64,4,23,27,-25,67,76,1,0,12,0,0,44,46
Connor Murphy,CHI,D,57,4,6,10,-14,47,71,1,0,0,0,0,130,150
Mike Reilly,BOS,D,70,4,13,17,-1,32,135,0,0,3,1,0,94,54
Antoine Roussel,FA,LW,53,4,4,8,-16,59,59,1,0,0,0,0,74,34
Jani Hakanpaa,DAL,D,80,4,8,12,1,43,68,0,0,0,0,1,248,112
Jon Merrill,MIN,D,69,4,16,20,15,22,59,0,0,0,0,0,46,112
Derek Forbort,BOS,D,76,4,10,14,2,48,64,1,0,0,0,1,133,100
Riley Sheahan,BUF,C,69,4,13,17,6,2,69,0,0,0,0,2,16,28
Paul Byron,MON,C,27,4,3,7,-8,2,33,2,0,0,0,0,66,7
Mathieu Perreault,FA,C,25,4,5,9,2,4,27,0,0,1,0,0,35,11
Travis Hamonic,OTT,D,43,4,6,10,6,14,82,0,0,0,0,0,73,93
Cody Eakin,CGY,C,69,4,8,12,-15,22,74,1,1,1,0,1,33,29
T.J. Brodie,TOR,D,82,4,24,28,20,34,68,0,0,1,0,2,53,106
Calvin de Haan,CAR,D,69,4,4,8,-21,33,107,0,0,0,0,0,146,172
Andrew Cogliano,COL,LW,74,4,12,16,-18,20,75,0,0,0,1,1,104,31
Brad Richardson,FA,C,44,4,4,8,-1,35,31,1,0,0,0,0,59,20
Alexander Radulov,FA,RW,71,4,18,22,-20,30,92,2,1,7,0,0,43,48
Ryan McDonagh,NSH,D,71,4,22,26,15,16,85,0,0,1,0,0,96,137
Brendan Smith,NJ,D,45,4,4,8,6,36,63,1,0,0,0,0,73,40
Dysin Mayo,ARI,D,67,4,8,12,-22,27,76,0,0,0,0,0,129,133
Max Willman,PHI,LW,41,4,2,6,-13,16,65,0,0,0,0,0,53,10
Jacob Middleton,MIN,D,66,4,10,14,10,82,73,0,0,1,0,1,118,124
Brendan Perlini,FA,LW,23,4,1,5,-2,6,24,0,0,0,0,0,29,3
Rasmus Andersson,CGY,D,82,4,46,50,30,28,152,1,2,17,0,1,63,125
Nikita Zadorov,CGY,D,74,4,18,22,11,77,106,0,0,0,0,0,181,49
Laurent Dauphin,ARI,C,38,4,8,12,-10,25,50,0,0,0,0,0,31,27
Patrick Brown,PHI,C,44,4,5,9,-16,11,51,0,0,0,0,0,100,36
Jaccob Slavin,CAR,D,79,4,38,42,35,10,165,0,1,6,0,2,50,121
Carter Rowney,FA,C,26,4,2,6,-4,0,15,0,0,0,0,1,36,20
Nate Schmidt,WPG,D,77,4,28,32,-4,10,117,1,1,10,0,1,37,104
Chad Ruhwedel,PIT,D,78,4,9,13,2,14,82,0,0,0,0,0,149,86
Esa Lindell,DAL,D,76,4,21,25,4,12,136,0,0,3,1,2,111,148
Matt Grzelcyk,BOS,D,73,4,20,24,22,24,118,2,0,5,0,0,40,83
Justin Schultz,SEA,D,74,4,19,23,-15,16,92,1,2,3,0,0,40,87
Jake McCabe,CHI,D,75,4,18,22,-27,33,80,0,0,0,0,0,166,167
Jamie Drysdale,ANH,D,81,4,28,32,-26,16,137,1,0,12,0,0,40,72
Janis Moser,ARI,D,43,4,11,15,-10,16,40,1,1,1,0,0,32,55
Joe Snively,WAS,LW,12,4,3,7,3,2,21,0,1,0,0,0,2,3
Henrik Borgstrom,WAS,C,52,4,3,7,-14,22,41,0,0,1,0,0,26,19
Logan Brown,STL,C,39,4,7,11,-3,8,34,0,0,1,0,0,22,13
Michael Carcone,ARI,C,21,4,2,6,-8,14,36,0,0,0,0,0,31,7
Klim Kostin,STL,RW,40,4,5,9,-3,23,31,1,0,0,0,0,90,9
Ryan Lindgren,NYR,D,78,4,11,15,18,48,73,1,0,0,0,0,129,141
Givani Smith,DET,LW,46,4,3,7,-6,108,50,0,0,0,0,0,86,20
Nicolas Hague,VGK,D,52,4,10,14,6,38,116,0,0,0,0,0,57,80
Henri Jokiharju,BUF,D,60,3,16,19,-8,20,83,0,0,4,0,0,73,60
Fabian Zetterlund,NJ,LW,14,3,5,8,5,0,36,0,0,0,0,0,16,7
Sean Durzi,LA,D,64,3,24,27,-9,55,119,0,2,13,0,1,74,121
Alexander Romanov,NYI,D,79,3,10,13,-9,53,107,0,0,0,0,0,227,144
Alex Barre-Boulet,TB,C,16,3,3,6,0,4,16,0,0,1,0,0,10,3
Karson Kuhlman,SEA,C,44,3,7,10,-2,6,68,0,0,0,0,0,71,20
Dylan Gambrell,OTT,C,63,3,4,7,2,12,58,0,0,0,1,0,103,39
Lucas Carlsson,FLA,D,40,3,6,9,3,10,41,0,0,0,0,0,39,29
Josh Mahura,ANH,D,38,3,4,7,-14,12,36,0,0,0,0,0,63,51
Jeffrey Viel,SJ,LW,34,3,2,5,-2,114,30,0,0,0,0,0,84,11
Zack MacEwen,PHI,C,75,3,6,9,-15,110,82,1,0,0,0,0,159,32
Dylan Coghlan,CAR,D,59,3,10,13,-5,18,108,1,2,2,0,0,62,61
Matt Luff,DET,RW,23,3,3,6,3,4,26,1,0,0,0,0,29,4
Neal Pionk,WPG,D,77,3,31,34,5,46,140,1,1,11,0,0,185,91
Jan Rutta,PIT,D,76,3,15,18,25,47,86,0,0,0,0,0,93,71
Dante Fabbro,NSH,D,66,3,21,24,13,24,88,0,0,0,0,0,69,105
Julien Gauthier,NYR,RW,49,3,4,7,-9,8,69,1,0,0,0,0,98,14
Boris Katchouk,CHI,LW,59,3,4,7,-7,39,58,1,0,0,0,0,138,20
Nolan Foote,NJ,LW,7,3,1,4,3,0,10,0,0,0,0,0,8,1
Cam York,PHI,D,30,3,7,10,-14,6,33,0,1,3,0,0,20,40
Brett Leason,WAS,RW,36,3,3,6,1,4,45,0,0,0,0,0,16,14
Alexei Protas,WAS,C,33,3,6,9,4,0,34,0,0,1,0,0,20,12
Drew O'Connor,PIT,C,22,3,2,5,-1,4,40,0,0,0,0,0,12,7
Matty Beniers,SEA,C,10,3,6,9,-1,0,18,0,2,2,0,0,7,4
Marc McLaughlin,BOS,C,11,3,0,3,-1,8,12,0,0,0,0,0,15,2
Erik Gustafsson,WAS,D,59,3,15,18,-4,14,79,0,0,4,0,0,45,55
Jujhar Khaira,CHI,C,27,3,0,3,-4,13,32,0,0,0,0,0,88,14
Adam Pelech,NYI,D,78,3,25,28,20,42,104,0,0,0,0,2,99,128
Ben Hutton,VGK,D,58,3,10,13,7,32,78,0,0,0,0,0,49,72
Ryan Carpenter,NYR,C,67,3,9,12,-11,36,67,2,0,1,0,0,136,44
Niko Mikkola,STL,D,54,3,10,13,-6,55,58,0,0,0,1,0,109,81
Dominik Simon,FA,C,72,3,10,13,0,34,88,1,0,1,0,0,72,38
Alexandre Carrier,NSH,D,77,3,27,30,26,50,95,0,1,3,0,1,95,124
Colin White,FLA,C,24,3,7,10,-11,4,47,1,2,5,0,0,28,4
Tomas Nosek,BOS,LW,75,3,14,17,-9,32,84,1,0,0,0,2,85,34
Jake Walman,DET,D,51,3,7,10,-3,10,87,0,0,1,0,0,47,58
Kevin Labanc,SJ,RW,21,3,3,6,-4,6,36,1,2,2,0,0,28,9
Dean Kukan,FA,D,41,3,8,11,-2,16,41,0,0,0,0,0,43,39
Noel Acciari,STL,C,20,3,5,8,2,11,32,1,0,0,0,0,48,16
Dakota Joshua,VAN,LW,30,3,5,8,6,16,31,2,0,0,0,0,77,10
Alexander Edler,LA,D,41,3,16,19,18,34,54,1,0,0,0,1,56,70
Marc Staal,FLA,D,71,3,13,16,-1,28,76,1,0,0,0,0,94,75
Marc-Edouard Vlasic,SJ,D,75,3,11,14,-22,18,63,0,0,0,0,0,54,90
Ryan Getzlaf,FA,C,56,3,34,37,-14,29,104,1,2,9,0,0,89,56
Loui Eriksson,FA,RW,73,3,16,19,-18,6,81,0,0,1,1,0,17,23
Nick Leddy,STL,D,75,3,21,24,-30,22,71,0,0,6,0,0,37,67
Matt Martin,NYI,LW,71,3,4,7,-2,70,66,0,0,0,0,0,235,26
Jake Muzzin,TOR,D,47,3,11,14,-6,16,75,0,0,0,0,1,105,60
David Savard,MON,D,62,3,14,17,-22,36,66,0,0,0,0,1,134,127
Alec Martinez,VGK,D,26,3,5,8,6,4,32,0,0,0,0,0,26,68
Zach Bogosian,TB,D,48,3,5,8,2,53,60,1,0,0,0,0,114,34
Michael Del Zotto,FLA,D,26,3,10,13,-4,4,35,0,1,1,0,0,42,34
Tyler Bozak,FA,C,50,3,9,12,-11,14,46,1,0,1,1,1,20,21
Marco Scandella,STL,D,70,3,11,14,17,18,76,0,0,0,0,2,106,70
Mark Pysyk,DET,D,68,3,9,12,-4,16,64,0,0,0,0,0,41,85
Justin Holl,TOR,D,69,3,20,23,14,41,64,1,0,0,1,2,129,104
Carl Hagelin,WAS,LW,53,3,11,14,10,20,71,1,0,0,0,1,32,12
Tyler Johnson,CHI,C,26,3,4,7,-8,12,30,0,0,2,0,0,37,7
Brenden Dillon,WPG,D,79,3,17,20,16,67,85,0,0,0,0,0,212,108
Radko Gudas,FLA,D,77,3,13,16,27,105,100,0,0,0,1,0,355,118
Brayden McNabb,VGK,D,69,3,15,18,10,42,85,0,0,0,0,1,154,179
Brett Ritchie,CGY,RW,41,3,1,4,-6,29,55,0,0,0,0,0,78,5
Joel Edmundson,MON,D,24,3,3,6,-1,35,32,0,0,0,0,0,61,45
Scott Mayfield,NYI,D,61,3,15,18,-5,55,80,2,0,0,0,1,77,109
Brian Dumoulin,PIT,D,76,3,15,18,24,24,91,0,0,0,0,0,88,139
Brad Hunt,COL,D,50,3,14,17,-3,12,67,0,0,2,0,0,22,48
Gregory Hofmann,FA,LW,24,2,5,7,6,8,33,2,0,0,0,0,23,10
Michael Sgarbossa,WAS,LW,10,2,2,4,3,0,11,0,0,0,0,0,7,2
Justin Dowling,VAN,C,22,2,2,4,-3,2,17,0,0,0,0,0,10,9
Patrik Nemeth,ARI,D,63,2,5,7,-9,28,52,1,0,0,0,0,115,102
Greg McKegg,EDM,C,43,2,3,5,-11,6,25,0,0,0,0,1,50,22
Joonas Donskoi,SEA,RW,75,2,20,22,-10,14,89,0,0,3,0,1,36,31
Michael Stone,CGY,D,11,2,4,6,3,4,24,1,1,1,0,0,26,17
Colton Sceviour,FA,RW,35,2,3,5,-6,26,38,0,0,0,0,1,41,20
Zdeno Chara,FA,D,72,2,12,14,8,85,81,0,0,0,0,0,125,90
James Neal,FA,RW,19,2,2,4,-1,0,31,1,1,1,0,0,17,3
Kris Russell,FA,D,31,2,7,9,7,4,34,1,0,0,0,0,33,68
Andy Greene,FA,D,69,2,8,10,-13,10,52,0,0,0,0,0,39,126
Nick Foligno,BOS,LW,64,2,11,13,-13,61,99,0,0,1,0,0,164,31
Alex Goligoski,MIN,D,72,2,28,30,41,34,80,0,0,4,0,0,56,96
Ian Cole,TB,D,75,2,17,19,15,83,77,1,0,0,0,1,110,104
Austin Czarnik,DET,C,17,2,5,7,5,0,14,0,0,0,0,0,3,7
Liam O'Brien,ARI,C,39,2,1,3,1,106,36,0,0,0,0,0,139,10
Marcus Pettersson,PIT,D,72,2,17,19,8,38,83,0,0,0,0,0,122,74
Haydn Fleury,TB,D,36,2,2,4,0,13,52,1,0,0,0,0,60,62
Gabriel Carlsson,WAS,D,38,2,7,9,6,10,18,0,0,0,0,0,27,33
Nicolas Meloche,CGY,D,50,2,5,7,-17,39,36,1,0,0,0,1,158,54
Will Borgen,SEA,D,36,2,6,8,1,28,49,0,0,0,0,0,89,33
Travis Dermott,VAN,D,60,2,5,7,9,14,46,1,0,0,0,0,55,46
Jeremy Lauzon,NSH,D,66,2,5,7,-6,81,75,0,0,0,0,0,224,63
Kyle Capobianco,WPG,D,45,2,7,9,-12,38,40,1,1,1,0,0,43,46
Jordan Oesterle,DET,D,45,2,6,8,-7,4,63,1,0,0,0,0,27,44
Joel Hanley,DAL,D,44,2,4,6,-13,4,18,0,0,0,0,0,60,43
Ross Johnston,NYI,LW,32,2,5,7,-3,44,9,0,0,0,0,0,90,16
Connor Clifton,BOS,D,60,2,8,10,-2,32,80,0,0,0,0,0,156,62
Anton Blidh,COL,LW,32,2,7,9,-3,24,28,0,0,0,0,0,82,17
Will Butcher,DAL,D,37,2,6,8,-10,0,35,0,0,2,0,0,11,32
John Hayden,SEA,C,55,2,2,4,-12,84,65,0,0,0,0,0,104,24
Rasmus Ristolainen,PHI,D,66,2,14,16,-9,38,97,0,0,1,0,0,230,125
Colin Miller,DAL,D,38,2,12,14,-2,21,48,0,0,3,0,0,50,42
Jaycob Megna,SJ,D,44,2,6,8,-1,16,40,0,0,0,0,0,71,92
Kurtis MacDermid,COL,D,58,2,3,5,1,89,46,0,0,0,0,0,105,22
Martin Frk,STL,RW,6,2,0,2,-4,2,15,0,2,0,0,0,11,0
Mark Jankowski,NSH,C,19,2,3,5,2,4,14,1,0,0,0,0,5,8
Cole Perfetti,WPG,LW,18,2,5,7,1,0,21,1,0,1,0,0,17,2
Owen Power,BUF,D,8,2,1,3,3,2,10,0,0,0,0,0,1,9
Mason McTavish,ANH,C,9,2,1,3,3,2,12,1,0,1,0,0,8,6
Radim Zohorna,CGY,RW,17,2,4,6,12,4,9,0,0,0,0,0,23,3
Braden Schneider,NYR,D,43,2,9,11,5,9,25,0,0,1,0,0,60,52
Corey Schueneman,MON,D,24,2,4,6,-5,8,30,0,0,1,0,0,15,40
Jordan Spence,LA,D,24,2,6,8,0,2,41,1,0,2,0,0,32,29
Ronnie Attard,PHI,D,15,2,2,4,-2,8,16,0,0,0,0,0,24,17
Arttu Ruotsalainen,BUF,C,18,2,2,4,-1,6,23,0,0,0,0,0,14,6
Andrew Peeke,CLS,D,82,2,13,15,-14,60,72,0,0,0,0,0,191,169
Drake Caggiula,PIT,LW,18,2,3,5,-4,4,23,1,0,1,0,0,17,7
Matt Roy,LA,D,67,2,19,21,23,28,153,0,0,2,0,2,124,103
Ilya Lyubushkin,BUF,D,77,2,13,15,-2,51,54,0,0,0,0,1,187,92
Nikita Zaitsev,OTT,D,62,2,9,11,-7,28,65,0,0,0,0,2,128,103
Calle Rosen,STL,D,18,2,5,7,-2,4,18,0,0,0,0,0,6,16
Oskar Steen,BOS,C,20,2,4,6,-1,6,25,0,0,0,0,0,32,8
Riley Stillman,CHI,D,52,2,10,12,-8,36,49,1,0,0,0,0,122,67
Axel Jonsson-Fjallby,WAS,LW,23,2,2,4,0,4,29,0,0,0,0,0,18,8
Adam Brooks,PHI,C,25,2,1,3,2,2,14,2,0,0,0,0,11,6
Brett Murray,BUF,LW,19,2,4,6,-3,23,14,0,0,1,0,0,17,2
Kale Clague,BUF,D,36,2,8,10,-10,20,26,0,0,3,0,0,14,23
Morgan Barron,WPG,LW,27,2,3,5,-4,8,33,0,0,0,0,0,49,8
Sheldon Dries,VAN,C,11,2,1,3,-3,0,17,1,1,0,0,0,9,6
Mark Kastelic,OTT,C,16,2,2,4,-1,14,11,1,0,0,0,0,51,10
Jesse Ylonen,MON,LW,14,2,3,5,2,2,16,0,0,0,0,0,5,4
Jack Drury,CAR,C,2,2,0,2,3,2,6,0,0,0,0,0,4,2
Calen Addison,MIN,D,15,2,2,4,-4,2,17,0,0,0,0,0,12,6
Jack McBain,ARI,C,10,2,1,3,-6,6,13,0,0,0,0,0,33,9
Jan Jenik,ARI,C,13,2,1,3,-6,11,22,1,0,0,0,0,25,4
Paul Cotter,VGK,C,7,2,0,2,1,6,11,0,0,0,0,0,17,1
Nathan Smith,ARI,C,10,2,2,4,-1,2,14,0,0,0,0,0,26,6
Connor Dewar,MIN,C,35,2,4,6,-4,25,44,1,0,1,0,0,48,22
Jonas Rondbjerg,VGK,RW,30,2,4,6,0,4,30,0,0,0,0,0,13,11
Mikey Anderson,LA,D,57,2,6,8,6,8,58,1,0,0,0,0,133,69
Kole Lind,SEA,RW,23,2,6,8,-1,12,31,0,0,0,0,0,18,10
Jake Leschyshyn,VGK,C,41,2,4,6,-2,8,35,0,0,0,0,0,45,23
Sebastian Aho,NYI,D,36,2,10,12,-6,10,34,0,0,2,0,0,32,42
Marian Studenic,DAL,RW,33,2,2,4,-7,6,42,0,0,0,0,0,25,15
Alexei Toropchenko,STL,RW,28,2,0,2,-9,15,43,0,0,0,0,0,69,21
Mario Ferraro,SJ,D,63,2,12,14,-5,16,49,1,0,0,0,0,140,151
Kristian Vesalainen,WPG,LW,53,2,1,3,-8,6,43,0,0,0,0,0,72,14
Cal Foote,TB,D,56,2,7,9,6,29,49,0,0,0,0,0,83,57
Nolan Patrick,VGK,C,25,2,5,7,1,6,34,0,0,1,0,0,26,3
Lias Andersson,LA,LW,20,1,1,2,-7,12,29,1,0,1,0,0,23,3
Isaac Ratcliffe,PHI,LW,10,1,3,4,-1,10,14,0,0,2,0,0,16,8
Gustav Lindstrom,DET,D,63,1,12,13,-12,22,41,0,0,0,0,0,59,77
Robin Salo,NYI,D,21,1,4,5,-6,4,24,0,0,2,0,0,7,23
Jacob Bryson,BUF,D,73,1,9,10,-9,12,43,0,1,6,0,0,55,73
Jonah Gadjovich,SJ,LW,43,1,2,3,-9,74,36,0,0,0,0,0,104,14
Alec Regula,CHI,D,15,1,0,1,-1,12,18,0,0,0,0,0,21,21
Jordan Harris,MON,D,10,1,0,1,3,8,9,0,0,0,0,0,10,11
Gabriel Fortier,TB,LW,10,1,0,1,-2,4,14,0,0,0,0,0,24,5
Benoit-Olivier Groulx,ANH,C,18,1,2,3,0,2,17,0,0,0,0,0,19,6
Kevin Bahl,NJ,D,17,1,3,4,-6,10,16,0,0,0,0,0,28,15
Nils Lundkvist,DAL,D,25,1,3,4,4,0,32,0,1,1,0,0,15,15
Ryan Merkley,SJ,D,39,1,5,6,-10,8,36,0,0,2,0,0,12,22
Carson Meyer,CLS,RW,13,1,2,3,0,6,13,0,0,0,0,0,27,2
Kiefer Sherwood,NSH,LW,11,1,1,2,3,0,9,1,0,0,0,0,12,4
Riley Tufte,DAL,LW,10,1,0,1,0,4,5,0,0,0,0,0,9,4
Kasper Bjorkqvist,PIT,RW,6,1,0,1,-1,2,8,0,0,0,0,0,9,2
Garrett Pilon,WAS,C,2,1,0,1,1,0,1,0,0,0,0,0,2,0
Beck Malenstyn,WAS,C,12,1,0,1,2,9,10,0,0,0,0,0,34,7
Radim Simek,SJ,D,36,1,1,2,-13,8,25,0,0,0,0,0,96,39
Michal Kempny,SEA,D,15,1,1,2,-3,16,10,0,0,0,0,0,22,19
Troy Stecher,ARI,D,29,1,2,3,-7,13,50,0,0,0,0,0,33,38
Philippe Myers,TB,D,27,1,3,4,5,12,28,0,0,0,0,0,50,17
John Marino,NJ,D,81,1,24,25,1,23,90,0,0,2,0,2,73,88
Bokondji Imama,ARI,LW,4,1,0,1,-2,5,3,0,0,0,0,0,10,0
Ethan Prow,FA,D,4,1,0,1,-1,0,2,0,0,0,0,0,2,3
Logan Stanley,WPG,D,58,1,12,13,1,44,80,1,0,0,0,1,131,100
Tyler Benson,EDM,LW,29,1,1,2,-5,18,18,0,0,0,0,0,45,3
Joel Kiviranta,DAL,RW,56,1,6,7,-6,10,59,0,0,0,0,0,97,23
Grant Hutton,NYI,D,16,1,0,1,-1,4,22,0,0,0,0,0,15,12
Trey Fix-Wolansky,CLS,RW,6,1,1,2,-1,0,5,0,0,0,0,0,7,4
Philip Broberg,EDM,D,23,1,2,3,-8,8,29,0,0,0,0,0,10,10
Riley Damiani,DAL,C,7,1,1,2,0,2,10,0,0,0,0,0,4,0
John Leonard,NSH,C,14,1,1,2,-5,0,25,0,0,1,0,0,13,8
Reese Johnson,CHI,RW,37,1,5,6,-13,16,24,0,0,0,0,0,141,14
Taro Hirose,DET,LW,15,1,3,4,-5,4,10,0,1,1,0,0,9,2
Kristian Reichel,WPG,C,13,1,1,2,-2,7,18,0,0,0,0,0,14,10
Rafael Harvey-Pinard,MON,LW,4,1,0,1,-2,0,6,0,0,0,0,0,12,3
Simon Benoit,ANH,D,53,1,4,5,-5,22,45,0,0,0,0,0,168,39
Jake Christiansen,CLS,D,8,1,0,1,1,0,4,0,0,0,0,0,9,6
Vladislav Kolyachonok,ARI,D,32,1,2,3,0,6,24,0,0,0,0,0,39,36
Nick Robertson,TOR,LW,10,1,0,1,-4,4,14,0,0,0,0,0,10,2
Nikita Okhotyuk,NJ,D,5,1,1,2,-2,2,5,0,0,0,0,0,16,1
Matias Maccelli,ARI,LW,23,1,5,6,-10,4,21,0,0,1,0,0,12,8
Nick Abruzzese,TOR,C,9,1,0,1,-1,2,8,1,0,0,0,0,7,3
Alex Vlasic,CHI,D,15,1,1,2,-2,2,12,0,0,0,0,0,15,16
Thomas Harley,DAL,D,34,1,3,4,-4,6,36,0,0,0,0,0,30,30
Hendrix Lapierre,WAS,C,6,1,0,1,2,2,7,0,0,0,0,0,1,2
